Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [32, 64]
Loaded previous global best accuracy: 0.9791
Starting training
Epoch 1/15 - Train Loss: 2.3016, Train Acc: 0.1111 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3015, Train Acc: 0.1123 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3015, Train Acc: 0.1119 - Val Loss: 2.3016, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3014, Train Acc: 0.1121 - Val Loss: 2.3011, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3015, Train Acc: 0.1124 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3018, Train Acc: 0.1118 - Val Loss: 2.3016, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3016, Train Acc: 0.1124 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3014, Train Acc: 0.1119 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3014, Train Acc: 0.1125 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3015, Train Acc: 0.1116 - Val Loss: 2.3014, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3014, Train Acc: 0.1117 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3013, Train Acc: 0.1118 - Val Loss: 2.3011, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3014, Train Acc: 0.1124 - Val Loss: 2.3011, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3014, Train Acc: 0.1124 - Val Loss: 2.3011, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3014, Train Acc: 0.1114 - Val Loss: 2.3009, Val Acc: 0.1135
